URL,Title,Price_Raw,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État
https://www.avito.ma/fr/riyad/voitures_d_occasion/Seat_Leon_Diesel_Manuelle_2020_%C3%A0_Rabat_57344950.htm,Seat Leon Diesel Manuelle 2020 à Rabat,165 000 DH,2020,Manuelle,Diesel,80000,Seat,Leon,5,WW au Maroc,Oui,6 CV,Très bon
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Jeep_Renegade_Diesel_Automatique_2022_%C3%A0_Marrakech_57152982.htm,Jeep Renegade Diesel Automatique 2022 à Marrakech,Demander le prix,2022,Automatique,Diesel,85000,Jeep,Renegade,5,WW au Maroc,,6 CV,Excellent
https://www.avito.ma/fr/maarif/voitures_d_occasion/Mercedes_Benz_Classe_GLE_Diesel_Automatique_2020_57065518.htm,Mercedes-Benz Classe GLE Diesel Automatique 2020,475 000 DH,2020,Automatique,Diesel,110000,Mercedes-Benz,Classe GLE,5,WW au Maroc,Oui,8 CV,Bon
https://www.avito.ma/fr/yacoub_el_mansour/voitures_d_occasion/Hyundai_i30_Diesel_Automatique_2021_%C3%A0_Rabat_57281004.htm,Hyundai i30 Diesel Automatique 2021 à Rabat,Demander le prix,2021,Automatique,Diesel,90000,Hyundai,i30,5,WW au Maroc,Oui,6 CV,Très bon
https://www.avito.ma/fr/el_houda/voitures_d_occasion/Dacia_Sandero_stypway_Diesel_2023_%C3%A0_Agadir_57332960.htm,Dacia Sandero stypway Diesel 2023 à Agadir,Demander le prix,2023,Manuelle,Diesel,50000,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Audi_Q2_Diesel_Automatique_2019_%C3%A0_Casablanca_57336362.htm,Audi Q2 Diesel Automatique 2019 à Casablanca,228 000 DH,2019,Automatique,Diesel,142000,Audi,Q2,5,WW au Maroc,,8 CV,Excellent
https://www.avito.ma/fr/a%C3%AFn_chock/voitures_d_occasion/Seat_Ibiza_anniversary_2025_55144344.htm,Seat Ibiza anniversary 2025,Demander le prix,2025,Manuelle,Essence,12000,Seat,Ibiza,5,WW au Maroc,Oui,7 CV,Excellent
https://www.avito.ma/fr/maarif/voitures_d_occasion/Honda_CRV_hybride_2021_57329412.htm,Honda CRV hybride 2021,245 000 DH,2021,Automatique,Hybride,130000,Honda,CR-V,5,WW au Maroc,Oui,8 CV,Excellent
https://www.avito.ma/fr/wilaya/voitures_d_occasion/Range_Rover_Sport_Autobiography_56230666.htm,Range Rover Sport Autobiography,150 000 DH,2011,Automatique,Diesel,190000,Land Rover,Range Rover Sport,5,Importée neuve,Non,12 CV,Excellent
https://www.avito.ma/fr/maarif/voitures_d_occasion/Velar_premeir_man_2018_57227123.htm,Velar premeir man 2018,298 000 DH,2018,Automatique,Diesel,180000,Land Rover,Range Rover Velar,5,WW au Maroc,Oui,8 CV,Neuf
https://www.avito.ma/fr/2_mars/voitures_d_occasion/Audi_Q7_%C3%A9tat_9_57297439.htm,Audi Q7 état 9,79 000 DH,2006,Automatique,Diesel,190000,Audi,Q7,5,WW au Maroc,Non,12 CV,Excellent
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Jeep_Wrangler_rubicon_Diesel_v6_57281023.htm,Jeep Wrangler rubicon Diesel v6,Demander le prix,2021,Automatique,Diesel,80000,Jeep,Wrangler,5,Dédouanée,Oui,12 CV,Excellent
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/hyundai_tucson_57249346.htm,hyundai tucson,306 000 DH,2023,Automatique,Diesel,77500,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Bon
https://www.avito.ma/fr/najd/voitures_d_occasion/dacia_duster_modele_2024_6cv_1ere_main_57299509.htm,dacia duster modele 2024 6cv 1ere main,Demander le prix,2024,Manuelle,Diesel,70000,Dacia,Duster,5,WW au Maroc,Oui,6 CV,Excellent
